Y,STATEQ,CENSUSDIV,CENSUSREG,A2,A3,A3A,A3B,A4_1,A4_2,A4_3,A4_4_2015,A4_5,A4_6,A4_99,A4A,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM32,AM22,X3,X4,A9,A10,A10A,AM7_2012,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J32,J33_1,B1,B2,B4,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,EA_1,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G25_1,G25_2,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3,time,M6new,M7new,M8new,M9new,M10new,M31new,literacy,M6right,M7right,M8right,M9right,M10right,M31right,logA3A,logA3Asq,J2sq
1.455852482,44,7,3,75032,2,57,11,1,0,0,0,0,0,0,1,7,1,2,1,1,6,2,2,1,2,2,1,NA,2,2,1,NA,NA,NA,1,9,9,2,3,1,1,1,NA,2,4,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,2,2,2,1,1,2,1,0,1,0,0,0,0,0,1,1,2,4,1,1,2,2,1,1,2,2,2,7,7,7,3,NA,NA,NA,NA,1,2,3,2,2,2,0.52504803,1.25501379,0.73673165,0,>$102,Exactly,Same,FALSE,FALSE,5-Feb,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4.043051268,16.34626355,81
-1.135158577,5,9,4,90012,1,26,2,1,0,0,0,0,0,0,1,7,1,2,1,1,5,1,NA,NA,NA,1,2,1,2,2,1,2,NA,NA,3,9,8,3,1,1,1,1,NA,1,1,5,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,1,4,1,4,3,2,4,1,6,1,2,1,1,7,6,7,1,NA,NA,NA,NA,2,2,2,3,1,1,0.736487,1.84339373,0.75750119,0,=$102,Exactly,Fall,TRUE,TRUE,10-May,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3.258096538,10.61519305,64
1.073753704,18,6,3,41051,1,36,3,0,1,0,0,0,0,0,2,7,1,2,1,2,6,3,NA,NA,NA,3,1,NA,2,3,1,NA,NA,NA,1,8,5,1,3,1,1,1,NA,2,1,5,4,1,1,2,3,1,3,1,1,1,2,2,1,1,1,2,2,1,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,2,1,2,2,2,7,6,6,3,NA,NA,NA,NA,1,3,2,2,1,2,0.71734923,0.75941553,0.64142733,0,>$102,Less,Fall,TRUE,FALSE,5-Feb,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.583518938,12.84160798,25
0.922269256,33,2,1,10562,1,49,4,1,0,1,0,0,0,0,3,6,1,2,1,2,8,2,4,2,1,3,1,NA,2,2,1,NA,NA,NA,1,7,6,1,3,2,1,2,NA,2,1,4,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,2,1,2,2,2,5,5,5,3,NA,NA,NA,NA,1,3,2,2,1,2,1.53310506,0.72554426,0.71190836,0,>$102,Less,Fall,TRUE,FALSE,5-Feb,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.891820298,15.14626523,36
1.304368035,7,1,1,6708,2,50,10,1,0,0,0,0,0,0,1,2,1,2,1,2,3,3,NA,NA,NA,3,1,NA,4,2,1,NA,2,NA,3,8,1,1,3,1,2,2,NA,2,1,4,1,1,1,2,3,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,3,1,2,1,1,2,2,2,7,7,7,3,NA,NA,NA,NA,1,2,3,4,1,NA,0.45093276,1.43936829,0.96957267,0,>$102,Exactly,Same,TRUE,DK,4,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.912023005,15.30392399,1
1.60733693,5,9,4,91302,1,54,4,1,0,0,0,0,0,0,1,4,1,2,1,2,8,2,4,2,3,3,1,NA,1,2,1,NA,2,NA,1,10,8,1,3,1,1,1,NA,2,1,5,1,1,1,2,3,1,3,1,1,1,2,2,1,1,1,2,2,1,3,1,2,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,1,1,2,2,2,7,4,7,3,NA,NA,NA,NA,1,3,2,4,1,2,1.01745299,2.93795471,1.36966443,0,>$102,Less,Fall,TRUE,FALSE,4,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3.988984047,15.91199372,64
0.843139373,36,3,2,43449,1,60,5,1,0,0,0,1,0,0,5,6,1,2,1,1,5,2,4,2,6,3,1,NA,1,2,1,NA,NA,NA,1,8,9,1,3,1,1,NA,NA,2,1,5,2,1,1,2,3,1,2,NA,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,NA,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,3,1,2,2,2,6,7,6,NA,NA,NA,NA,NA,1,3,NA,NA,1,2,0.76328801,0.8590481,0.58771241,0,>$102,Less,DK,TRUE,FALSE,DK,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4.094344562,16.76365739,81
-0.640027886,49,5,3,26003,2,41,9,1,0,0,0,0,0,0,1,7,1,2,1,2,7,3,NA,NA,NA,3,1,NA,2,2,1,NA,NA,NA,1,6,7,1,2,1,1,1,NA,2,1,5,7,1,1,2,2,1,3,1,1,1,2,2,1,1,1,2,2,1,3,2,1,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,5,1,1,2,2,7,7,6,2,1,1,2,NA,1,3,2,3,1,2,0.78813471,0.20398003,0.43870714,0,>$102,Less,Fall,TRUE,FALSE,10-May,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3.713572067,13.79061749,49
0.691654925,10,5,3,32258,1,58,5,1,0,0,0,0,0,0,1,5,1,2,1,1,5,2,4,2,5,3,1,NA,8,3,2,NA,2,NA,1,7,2,1,3,1,2,NA,1,1,1,4,5,1,1,2,3,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,3,1,2,1,2,7,7,6,3,NA,NA,NA,NA,1,3,4,2,1,NA,1.3503904,3.43299947,1.17541642,0,>$102,Less,No relationship,TRUE,DK,5-Feb,4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,4.060443011,16.48719744,4
0.843139373,21,5,3,21222,1,45,4,1,0,0,0,0,0,0,1,2,1,2,1,2,4,2,3,1,3,2,1,NA,2,3,1,NA,2,NA,1,8,5,1,3,1,1,2,NA,2,1,5,5,1,1,2,3,1,3,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,3,1,2,2,2,5,4,5,3,NA,NA,NA,NA,2,3,1,4,1,NA,1.38806936,1.02509209,1.16056411,0,=$102,Less,Rise,TRUE,DK,4,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3.80666249,14.49067931,25
