term,justice,idealpt,pparty,pres
1945,Black,-2.125,D,Truman
1945,Burton,0.490999997,D,Truman
1945,Douglas,-1.710999966,D,Truman
1945,Frankfurter,0.675999999,D,Truman
1945,Jackson,0.648000002,D,Truman
1945,Murphy,-1.358999968,D,Truman
1945,Reed,-0.014,D,Truman
1945,Rutledge,-1.159999967,D,Truman
1945,Stone,0.583999991,D,Truman
1946,Black,-1.932000041,D,Truman
1946,Burton,0.552999973,D,Truman
1946,Douglas,-1.422999978,D,Truman
1946,Frankfurter,1.031000018,D,Truman
1946,Jackson,1.052000046,D,Truman
1946,Murphy,-1.776000023,D,Truman
1946,Reed,0.252999991,D,Truman
1946,Rutledge,-1.398000002,D,Truman
1946,Vinson,0.435000002,D,Truman
1947,Black,-1.805999994,D,Truman
1947,Burton,0.893999994,D,Truman
1947,Douglas,-1.527999997,D,Truman
1947,Frankfurter,0.912,D,Truman
1947,Jackson,1.187000036,D,Truman
1947,Murphy,-1.712000012,D,Truman
1947,Reed,0.56400001,D,Truman
1947,Rutledge,-1.741999984,D,Truman
1947,Vinson,0.58099997,D,Truman
1948,Black,-1.65199995,D,Truman
1948,Burton,0.967000008,D,Truman
1948,Douglas,-1.751999974,D,Truman
1948,Frankfurter,0.656000018,D,Truman
1948,Jackson,1.332000017,D,Truman
1948,Murphy,-1.59800005,D,Truman
1948,Reed,0.698000014,D,Truman
1948,Rutledge,-1.838000059,D,Truman
1948,Vinson,0.883000016,D,Truman
1949,Black,-1.680999994,D,Truman
1949,Burton,0.966000021,D,Truman
1949,Clark,1.044999957,D,Truman
1949,Douglas,-1.620000005,D,Truman
1949,Frankfurter,0.377999991,D,Truman
1949,Jackson,0.940999985,D,Truman
1949,Minton,1.167000055,D,Truman
1949,Reed,1.069000006,D,Truman
1949,Vinson,1.108999968,D,Truman
1950,Black,-1.638000011,D,Truman
1950,Burton,0.985000014,D,Truman
1950,Clark,1.085000038,D,Truman
1950,Douglas,-1.504999995,D,Truman
1950,Frankfurter,0.232999995,D,Truman
1950,Jackson,0.822000027,D,Truman
1950,Minton,1.322999954,D,Truman
1950,Reed,1.182000041,D,Truman
1950,Vinson,1.226999998,D,Truman
1951,Black,-1.526000023,D,Truman
1951,Burton,0.927999973,D,Truman
1951,Clark,1.174000025,D,Truman
1951,Douglas,-1.718000054,D,Truman
1951,Frankfurter,0.079999998,D,Truman
1951,Jackson,0.745000005,D,Truman
1951,Minton,1.373999953,D,Truman
1951,Reed,1.222000003,D,Truman
1951,Vinson,1.43900001,D,Truman
