"","PUBID","year","wage","age","numChildren","educ","school","experience","tenure","tenure2","fullTime","multipleLocations","unionized","marstat","region","urban","industry","autonomy","competitiveness","hazardous","regularity","teamwork"
"3",15,2005,700,22,0,"2.High school",TRUE,61,0.230769231,0.053254438,TRUE,1,0,"No romantic union",4,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"4",15,2006,400,23,0,"2.High school",TRUE,114,0.576923077,0.332840237,TRUE,1,0,"No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.139598413,2.701270127,1.197880212,1.5937,4.3814
"5",15,2009,1200,27,0,"2.High school",FALSE,282,1.75,3.0625,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"6",15,2010,947,28,0,"2.High school",FALSE,336,2.788461538,7.775517751,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"7",15,2011,1050,28,0,"2.High school",FALSE,371,3.461538462,11.98224852,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"9",32,1998,650,17,0,"1.Less than HS",TRUE,238,2.038461538,4.155325444,FALSE,0,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"11",32,2001,1200,20,0,"2.High school",TRUE,391,1.442307692,2.080251479,FALSE,1,0,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",3.96276999,2.8143,1,1.0303,4.3512
"13",32,2008,4500,27,1,"4.College",FALSE,520,2.288461538,5.237056213,TRUE,1,0,"Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.122555344,3.05106,1.296125923,1.2593,4.31699366
"14",32,2009,4475,28,1,"4.College",FALSE,555,2.961538462,8.770710059,TRUE,1,0,"Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.392804547,3.3459,1.153184682,1.2656,4.1669
"19",36,1998,500,18,1,"2.High school",FALSE,86,0.307692308,0.094674556,FALSE,0,0,"Cohabiting",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"20",36,1999,825,19,1,"2.High school",FALSE,106,0.384615385,0.147928994,TRUE,1,0,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"23",36,2003,1000,23,1,"2.High school",FALSE,156,0.557692308,0.31102071,FALSE,0,0,"Married",1,1,"Health Care",3.759669608,2.406206598,2.218414942,1.072355556,4.494050066
"25",36,2011,800,31,2,"2.High school",TRUE,180,0.346153846,0.119822485,FALSE,1,0,"No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"26",36,2013,1300,33,2,"2.High school",TRUE,236,1,1,FALSE,1,0,"No romantic union",4,1,"Health Care",4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"27",38,2002,700,21,0,"2.High school",TRUE,54,1.038461538,1.078402367,FALSE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.352826396,2.093172878,1.227451503,1.465533333,4.246133333
"28",38,2003,800,22,0,"2.High school",FALSE,110,2.115384615,4.474852071,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"30",38,2005,2000,24,0,"4.College",FALSE,204,1,1,FALSE,0,0,"No romantic union",1,1,"Educational and Social Services",4.201316667,1.86895,1,1.0315,4.593220339
"31",38,2006,2000,25,0,"4.College",FALSE,259,2.057692308,4.234097633,FALSE,0,0,"No romantic union",1,1,"Educational and Social Services",4.201316667,1.86895,1,1.0315,4.593220339
"32",38,2007,2500,26,0,"4.College",FALSE,323,3.288461538,10.81397929,TRUE,0,0,"Cohabiting",1,1,"Educational and Social Services",4.201316667,1.86895,1,1.0315,4.593220339
"34",38,2010,2100,29,0,"4.College",FALSE,465,1.365384615,1.864275148,TRUE,1,1,"Cohabiting",1,1,"Transportation and Warehousing",3.685028182,2.206169075,1.952752362,1.595,4.1413
"35",38,2011,2500,30,0,"4.College",FALSE,516,2.346153846,5.50443787,TRUE,0,1,"No romantic union",1,1,"Transportation and Warehousing",3.685028182,2.206169075,1.952752362,1.595,4.1413
"36",38,2013,2900,32,0,"4.College",FALSE,620,4.346153846,18.88905325,TRUE,0,1,"No romantic union",1,1,"Transportation and Warehousing",3.685028182,2.206169075,1.952752362,1.595,4.1413
"41",41,2002,600,19,0,"2.High school",TRUE,125,0.365384615,0.133505917,TRUE,0,0,"No romantic union",1,1,"Wholesale Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"43",41,2005,2000,22,0,"2.High school",TRUE,194,0.461538462,0.213017751,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"44",41,2006,435,23,0,"4.College",TRUE,249,1.230769231,1.514792899,TRUE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"45",41,2007,660,24,0,"4.College",FALSE,298,2.173076923,4.722263314,TRUE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"48",41,2010,460,27,0,"4.College",FALSE,445,0.384615385,0.147928994,FALSE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"49",41,2011,500,28,0,"4.College",FALSE,494,1.326923077,1.760724852,TRUE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"51",43,1998,539,17,0,"1.Less than HS",TRUE,35,0.519230769,0.269600592,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"52",43,1999,515,18,0,"1.Less than HS",TRUE,44,0.692307692,0.479289941,TRUE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"54",43,2002,313,21,0,"2.High school",FALSE,160,0.307692308,0.094674556,FALSE,0,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.504788749,2.4353,1.2541,1.2763,4.5087
"59",43,2007,860,26,0,"2.High school",FALSE,325,0.711538462,0.506286982,TRUE,1,0,"No romantic union",1,1,"Retail Trade",3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"60",43,2008,975,27,0,"2.High school",FALSE,384,1.846153846,3.408284024,TRUE,1,0,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"61",43,2009,1125,27,0,"2.High school",FALSE,400,2.153846154,4.639053254,TRUE,1,1,"No romantic union",1,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"78",48,2000,700,17,0,"1.Less than HS",TRUE,74,1.307692308,1.710059172,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"80",48,2002,900,19,0,"2.High school",TRUE,120,0.25,0.0625,TRUE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"81",48,2003,900,20,1,"2.High school",TRUE,155,0.923076923,0.852071006,TRUE,1,0,"Cohabiting",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"82",48,2004,950,21,1,"2.High school",TRUE,218,2.134615385,4.55658284,TRUE,1,0,"Cohabiting",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"83",48,2005,1200,22,1,"2.High school",TRUE,257,0.384615385,0.147928994,TRUE,1,0,"Cohabiting",1,1,"Public Administration and Armed Forces",4.411009042,3.239611981,2.79035,1.2227,4.657582879
"84",48,2006,1255,23,1,"2.High school",TRUE,306,1.326923077,1.760724852,FALSE,1,0,"Cohabiting",1,1,"Public Administration and Armed Forces",4.411009042,3.239611981,2.79035,1.2227,4.657582879
"85",48,2007,1207,24,1,"4.College",FALSE,361,2.384615385,5.686390533,TRUE,1,1,"Cohabiting",1,1,"Public Administration and Armed Forces",4.411009042,3.239611981,2.79035,1.2227,4.657582879
"86",48,2008,2067,25,1,"4.College",FALSE,424,1.115384615,1.24408284,TRUE,1,0,"Cohabiting",1,1,"Transportation and Warehousing",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"87",48,2009,2308,26,1,"4.College",FALSE,470,0.730769231,0.534023669,TRUE,1,1,"Cohabiting",1,1,"Educational and Social Services",4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"88",48,2010,2308,27,1,"4.College",FALSE,518,1.653846154,2.735207101,TRUE,1,1,"No romantic union",1,1,"Educational and Social Services",4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"89",48,2011,2356,28,1,"4.College",FALSE,566,2.576923077,6.640532544,TRUE,1,1,"No romantic union",1,1,"Educational and Social Services",4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"90",48,2013,2452,30,1,"4.College",FALSE,677,4.711538462,22.19859467,TRUE,1,1,"No romantic union",1,1,"Educational and Social Services",4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"94",50,2003,600,20,0,"1.Less than HS",FALSE,120,0.365384615,0.133505917,FALSE,1,0,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"96",50,2005,850,22,0,"2.High school",FALSE,202,0.711538462,0.506286982,FALSE,1,0,"No romantic union",1,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
